medicare provider number,hospital name,street address,city,state,zip code,"hospital system or, if independent, ipps/cah",is hospital a critical access hospital (y/n)?,"hospital compare 5-star rating (october 2018, na=not available)",number of outpatient services,total private allowed amount for outpatient services ($ millions),simulated medicare allowed amount for outpatient services ($ millions),relative price for outpatient services,standardized price per outpatient service,number of inpatient stays,total private allowed amount for inpatient services ($ millions),simulated medicare allowed amount for inpatient services ($ millions),relative price for inpatient services,standardized price per inpatient stay,total private allowed amount for inpatient and outpatient services ($ millions),simulated medicare allowed amount for inpatient and outpatient services ($ millions),relative price for professional inpatient and outpatient services,relative price for inpatient facility services,relative price for outpatient facility services,relative price for inpatient and outpatient services,total private allowed amount for facility inpatient and outpatient services ($ millions),simulated medicare allowed amount for facility inpatient and outpatient services ($ millions),total private allowed amount for professional inpatient and outpatient services ($ millions),simulated medicare allowed amount for professional inpatient and outpatient services ($ millions),"hospital compare 5-star rating (october 2018, n/a = not available)",Total Discharges,Total Discharges.1,Total Discharges.2,Average Covered Charges,Average Covered Charges.1,Average Covered Charges.2,Average Total Payments,Average Total Payments.1,Average Total Payments.2,Average Medicare Payments,Average Medicare Payments.1,Average Medicare Payments.2,Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges.1,Average Estimated Total Submitted Charges.2,Average Medicare Allowed Amount,Average Medicare Allowed Amount.1,Average Medicare Allowed Amount.2,Average Medicare Payment Amount,Average Medicare Payment Amount.1,Average Medicare Payment Amount.2,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services.1,Outlier Comprehensive APC Services.2,Average Medicare Outlier Amount,Average Medicare Outlier Amount.1,Average Medicare Outlier Amount.2,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number.1
010034,Community Hospital Inc.,805 Friendship Road,Tallassee,AL,36078,Independent (IPPS),N,3,28,0.02,0.01,129,105.83,,,,,,,,,,113%,,,,,,,19.4,20.1,17.285714285714285,10842.412999999999,10454.860000000002,11746.928301142858,6358.023,6228.687,6542.554292928572,5217.2080000000005,5080.339999999999,4962.177174428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010035,Cullman Regional,"1912 Alabama Highway
157",Cullman,AL,35058,Independent (IPPS),N,2,44,0.07,0.03,193,170.34,,,,,,,,,,197%,,,,,,,36.088235294117645,38.298507462686565,37.013888888888886,27648.522941176474,28370.66880597015,27929.739966944453,8815.43985294118,8562.26805970149,9077.599182555557,7584.946617647056,7361.708358208954,7860.003501305557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010039,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,"Huntsville Hospital
Health System",N,2,1091,1.74,1.12,156,134.6,190,4.77,1.54,309,28596,6.51,2.66,126,376%,158%,245,5.71,2.02,0.8,0.63,,59.36964980544747,59.625984251968504,58.8714859437751,72887.27894941633,74396.3007480315,74878.94704425702,12928.42369649805,13218.120669291335,13638.376586249005,10844.680038910514,11177.244724409444,11203.944362867465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010040,"Gadsden Regional Medical
Center",1007 Goodyear Avenue,Gadsden,AL,35903,"Community Health
Systems",N,2,13,0.09,0.01,669,586.48,,,,,,,,,,873%,,,,,,,37.97391304347826,37.06422018348624,41.57142857142857,114315.83799999995,126536.75743119269,131906.5624492857,10199.977565217392,10492.894587155963,9814.43636822619,8661.284173913044,9068.829816513768,8371.767130809525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010049,Medical Center Enterprise,400 N Edwards Street,Enterprise,AL,36330,"Community Health
Systems",N,3,13,0.07,0.01,948,807.81,,,,,,,,,,1244%,,,,,,,26.956521739130434,27.136363636363637,27.136363636363637,42713.607826086954,49897.13045454546,49682.48455681818,5752.5669565217395,6736.078181818182,6335.524826363638,4580.391739130435,5635.486818181817,5175.562312863636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010055,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,"Community Health
Systems",N,3,53,0.06,0.05,109,85.03,,,,,,,,,,112%,,,,,,,32.2,32.54237288135593,32.289256198347104,64728.21199999999,69183.11983050847,82818.57616355373,9321.272869565215,8742.69474576271,10088.159840909088,7867.999130434784,7327.365762711861,8711.886217214878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010056,St Vincents Birmingham,810 St Vincent's Drive,Birmingham,AL,35205,Ascension Health,N,4,107,0.28,0.18,157,133.94,14,0.23,0.12,201,16099,0.51,0.29,128,235%,162%,174,0.42,0.22,0.09,0.07,,39.125,39.378787878787875,37.22222222222222,47648.54125,51966.17765151513,55510.92927666664,9798.99786764706,10885.66015151515,11096.867302803419,8176.067132352939,8944.702424242427,9054.663012290597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010065,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,Independent (IPPS),N,3,16,0.01,0.01,115,92.32,,,,,,,,,,103%,,,,,,,26.235294117647058,26.77777777777778,28.0,13032.166764705882,16180.423611111111,15317.214684774195,6544.046176470588,7917.539444444444,6392.588783096776,5522.003529411767,6747.36388888889,5358.211698290322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010078,"Northeast Alabama Regional
Med Ctr",400 East 10th Street,Anniston,AL,36207,"Regional Medical
Center",N,2,23,0.05,0.03,160,133.47,,,,,,,,,,167%,,,,,,,33.93388429752066,36.92307692307692,33.12380952380953,50130.53586776862,54893.71028846153,61790.57641295241,8487.48900826446,8252.236538461539,9361.57951630476,7369.519586776856,6904.973942307693,7900.971773619049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010079,Athens Limestone,700 West Market Street,Athens,AL,35611,"Huntsville Hospital
Health System",N,4,54,0.08,0.04,183,154.01,,,,,,,,,,186%,,,,,,,28.069767441860463,28.682926829268293,27.15,20185.892558139538,18162.919268292684,21465.286789175003,6995.196279069767,6656.582439024391,7627.985151874998,5938.43511627907,5558.402926829267,6333.78535215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010083,"South Baldwin Regional
Medical Center","1613 North Mckenzie
Street",Foley,AL,36535,"Community Health
Systems",N,3,177,0.33,0.14,237,187.14,13,0.14,0.08,179,11144,0.48,0.22,165,187%,254%,216,0.41,0.18,0.07,0.04,,28.80392156862745,28.647058823529413,28.11764705882353,56453.396666666675,60424.45392156865,70474.20172039217,6488.017254901964,5969.770588235294,6448.351030549018,5324.094509803923,4738.76411764706,5274.398302803921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010085,"Decatur Morgan - Decatur
Campus",1201 7th Street Se,Decatur,AL,35601,"Huntsville Hospital
Health System",N,3,82,0.13,0.05,249,200.12,,,,,,,,,,268%,,,,,,,40.24731182795699,39.16279069767442,36.96666666666667,21085.093010752687,22748.01720930233,26567.974360822223,7234.774623655914,8135.988372093023,8154.581560566666,6077.628924731184,6856.2995348837185,6919.94942122222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090,Providence Hospital,6801 Airport Boulevard,Mobile,AL,36608,Ascension Health,N,2,79,0.08,0.04,179,148.8,,,,,,,,,,184%,,,,,,,33.13934426229508,34.11926605504587,33.97938144329897,32949.645737704916,34673.91073394495,35665.422740422684,10288.250819672136,10875.765321100916,10340.68153713402,8521.006065573774,8591.78605504587,8609.864336896906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010092,Dch Regional Medical Center,"809 University
Boulevard East",Tuscaloosa,AL,35401,DCH Health System,N,2,122,0.14,0.09,167,159.15,14,0.26,0.1,253,22626,0.4,0.19,145,282%,169.62898513,214,0.34,0.15,0.06,0.04,,54.133971291866025,53.83253588516747,49.75252525252525,45039.50856459328,42843.459138756,39263.365518045444,11075.336315789476,10851.112918660283,11136.621855621217,9838.811196172252,9374.241818181818,9523.501236469696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010097,Elmore Community Hospital,500 Hospital Drive,Wetumpka,AL,36092,Independent (IPPS),N,4,11,0.01,0,148,125.03,,,,,,,,,,135.1631939,,,,,,,46.8,66.33333333333333,40.6,7880.216,6120.55,7190.3466962,6559.872,5942.663333333334,6210.520776599999,5507.484000000001,4948.93,5126.5392382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010099,"D W Mcmillan Memorial
Hospital",1301 Belleville Avenue,Brewton,AL,36426,Independent (IPPS),N,3,19,0.01,0.01,164,121.2,,,,,,,,,,168%,,,,,,,21.555555555555557,19.0,18.428571428571427,9788.724444444446,9826.874444444442,10070.67851407143,5038.91,5361.045,5478.362321285714,4051.974444444445,4404.817222222223,4494.559555357143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010100,Thomas Hospital,750 Morphy Avenue,Fairhope,AL,36532,"Infirmary Health
System",N,3,106,0.2,0.09,213,157.92,,,,,,,,,,232%,,,,,,,31.986486486486488,32.12820512820513,32.68571428571428,29622.413243243245,30302.29012820513,30440.867272042855,9610.121486486485,9940.601282051284,9828.095549257143,8030.327972972972,8455.794230769237,8334.454563771425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010103,"Princeton Baptist Medical
Center","701 Princeton Avenue
Southwest",Birmingham,AL,35211,"Tenet Healthcare
Corporation",N,2,14,0.05,0.03,163,118.19,,,,,,,,,,152%,,,,,,,32.22330097087379,31.127450980392158,28.20909090909091,75290.11786407766,81246.4967647059,95119.99978863637,13560.1067961165,13651.46352941176,15701.957080972727,12042.854271844653,12060.725686274513,13499.972501254546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010104,Grandview Medical Center,"3690 Grandview
Parkway",Birmingham,AL,35243,"Community Health
Systems",N,2,76,0.2,0.19,106,84.55,13,0.26,0.12,218,16920,0.45,0.3,125,252.17182786,95%,150,0.39,0.25,0.07,0.05,,29.404761904761905,34.26732673267327,34.857142857142854,103961.61273809522,132504.36633663366,132703.4738375893,10979.15380952381,13451.318415841593,12398.52953879465,9350.412261904761,11655.930594059406,10285.695379544644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010108,Prattville Baptist Hospital,124 S Memorial Dr,Prattville,AL,36067,Baptist Health,N,3,16,0.01,0.01,180,154.47,,,,,,,,,,192.96466291,,,,,,,27.64516129032258,26.676470588235293,27.352941176470587,22398.554193548393,21706.142058823523,24715.638224999995,5319.01935483871,5125.356764705882,5424.936688852941,4166.580967741935,3956.0661764705883,4223.646338411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010113,"Mobile Infirmary Medical
Center","5 Mobile Infirmary
Circle",Mobile,AL,36652,"Infirmary Health
System",N,1,58,0.1,0.07,151,114.5,14,0.17,0.14,121,7606,0.27,0.21,160,117%,141%,130,0.22,0.17,0.05,0.03,,41.588235294117645,41.735955056179776,39.809248554913296,36245.95887700534,34593.95348314608,34175.548658670516,11288.35700534759,10883.58247191011,11020.911581445094,9427.125508021385,9067.232191011233,9299.912217456651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010114,Uab Medical West,"995 9th Avenue
Southwest",Bessemer,AL,35021,UAB Health System,N,3,85,0.15,0.08,186,162.97,,,,,,,,,,193%,,,,,,,23.071428571428573,22.608695652173914,24.323529411764707,39536.148095238095,35107.22673913043,35707.32032470588,8694.96595238095,7787.606739130433,7130.23080632353,7187.447142857143,6551.90152173913,5699.081521411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010126,Troy Regional Medical Center,"1330 Highway 231
South",Troy,AL,36081,Independent (IPPS),N,2,20,0.02,0.01,186,162.77,,,,,,,,,,204%,,,,,,,23.63157894736842,24.307692307692307,18.866666666666667,29747.059473684218,34022.88461538462,30109.120508666667,6151.961052631578,6662.1476923076925,6700.502171200001,5148.613157894736,5604.053076923077,5564.416107266666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010129,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,36507,"Infirmary Health
System",N,2,11,0.01,0.01,154,130.64,,,,,,,,,,152%,,,,,,,18.11111111111111,14.5,20.272727272727273,11663.713333333335,13717.809166666668,13983.059522818185,6725.047777777779,7024.175833333335,7574.7420050909095,5640.3133333333335,6017.695833333334,6065.157320363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010130,St. Vincents St. Clair,7063 Veterans Parkway,Pell City,AL,35125,Ascension Health,N,5,22,0.03,0.03,131,106.22,,,,,,,,,,121%,,,,,,,24.625,29.153846153846153,26.1875,22166.46375,22341.22923076923,24863.195024375,5153.875625,5802.133846153845,5240.54898325,4169.014999999999,4728.074615384616,4196.584088375001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010131,Crestwood Medical Center,One Hospital Dr Se,Huntsville,AL,35801,"Community Health
Systems",N,2,83,0.18,0.09,189,158.19,16,0.21,0.13,165,10992,0.39,0.22,139,181%,190%,175,0.32,0.17,0.06,0.05,,38.94444444444444,39.03409090909091,38.65060240963855,82075.97477777781,97207.84261363639,98697.77687325298,8219.181666666667,9191.936363636361,8827.665196313252,6713.687000000001,7655.851363636364,7189.53549553012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010139,"Brookwood Baptist Medical
Center","2010 Brookwood
Medical Center Drive",Birmingham,AL,35209,"Tenet Healthcare
Corporation",N,3,37,0.09,0.07,139,95.72,,,,,,,,,,146%,,,,,,,35.84126984126984,35.41880341880342,31.7,112901.15492063489,110405.56017094015,119550.9604324,9955.833650793656,9763.831880341877,9849.148399770003,8264.246984126983,8231.273504273506,8274.8208707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010144,Springhill Memorial Hospital,3719 Dauphin Street,Mobile,AL,36608,Independent (IPPS),N,1,19,0.03,0.02,154,127.38,,,,,,,,,,151%,,,,,,,31.27848101265823,32.309859154929576,33.03333333333333,35564.80670886076,34125.4114084507,29564.534037466663,10382.826455696202,9725.508028169012,9070.303866966666,9019.403670886077,8012.580422535212,7609.270257000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010149,Baptist Medical Center East,400 Taylor Road,Montgomery,AL,36117,Baptist Health,N,4,58,0.08,0.05,167,133.22,,,,,,,,,,160%,,,,,,,27.333333333333332,31.66,31.125,31980.723518518516,33186.8024,37772.15795175001,8971.516666666666,8868.810000000001,9117.373360875,7565.640925925929,7299.866999999998,7482.619568274997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010157,Shoals Hospital,"201 West Avalon
Avenue",Muscle Shoals,AL,35661,Lifepoint Health,N,3,46,0.15,0.04,360,262.24,,,,,,,,,,402%,,,,,,,20.09090909090909,22.0,21.31578947368421,23882.132272727275,26777.037058823527,21411.447731578945,5179.932727272728,5973.284117647061,5071.020692315789,4160.848636363636,4896.294705882353,3955.6189949473687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010168,"Jack Hughston Memorial
Hospital",4401 River Chase Drive,Phenix City,AL,36867,Independent (IPPS),N,5,16,0.03,0.02,126,109.24,,,,,,,,,,111%,,,,,,,81.81818181818181,77.72727272727273,77.0,48843.179090909085,44761.41818181818,49371.729322,14323.949090909091,17617.32,16835.0455322,12837.253636363639,15447.074545454547,13826.377597499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020001,"Providence Alaska Medical
Center",3200 Providence Drive,Anchorage,AK,99508,"Providence Saint
Joseph Health",N,4,608,3.46,0.91,382,448.84,195,5.67,2.22,255,26966,9.13,3.12,393,242%,367%,292,7.39,2.68,1.74,0.44,,30.26732673267327,31.660194174757283,31.106796116504853,95089.71227722769,99701.62048543687,110637.96735621357,22329.20435643565,22478.14864077669,24391.32686113592,20133.207722772273,20299.56300970875,20543.47535526213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020006,Mat-Su Regional Med Ctr,"2500 South Woodworth
Loop",Palmer,AK,99645,"Community Health
Systems",N,3,505,3.44,0.76,452,587.1,41,1.48,1.14,130,14984,4.91,1.9,398,115%,462%,259,3.93,1.65,0.99,0.25,,26.161290322580644,27.3,25.944444444444443,51432.055806451615,63309.94833333334,82542.19255444444,12461.614193548387,14789.210333333333,18095.551542472225,11092.290322580642,13399.640333333336,16149.028926249997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020008,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801,Independent (IPPS),N,4,118,0.48,0.11,443,627.37,,,,,,,,,,440%,,,,,,,18.5,19.333333333333332,21.636363636363637,32916.085,34070.23222222223,36510.57856727273,11865.614999999998,14829.026666666665,19304.795947272723,10898.634000000002,13607.625555555558,18022.742831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020012,Fairbanks Memorial,1650 Cowles Street,Fairbanks,AK,99701,Independent (IPPS),N,5,117,0.34,0.09,402,507.04,,,,,,,,,,398%,,,,,,,20.25,22.444444444444443,25.761904761904763,42998.55535714286,45863.922777777785,46901.2489847619,19672.60035714286,18839.642777777775,20762.025644761907,17838.205,17037.135555555556,19064.254579666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
